fixture_id,date,season,home_team,away_team,home_goals,away_goals,total_goals,over_2_5,home_attack_rating_joint,home_defense_rating_joint,away_attack_rating_joint,away_defense_rating_joint,home_xg_last5_weighted_ucl,away_xg_last5_weighted_ucl,home_xg_against_last5_weighted_ucl,away_xg_against_last5_weighted_ucl,home_expected_rating_joint,away_expected_rating_joint,combined_expected_rating_joint,rating_gap_joint,home_expected_geo_ucl,away_expected_geo_ucl,combined_expected_geo_ucl,poisson_p_over_geo_ucl
1149513,2024-03-06,2023,Real Madrid,RB Leipzig,1,1,2,0,0.002711621701942571,-0.0026917772916169483,0.001866276012498947,-0.00017994243375480507,1.9437140897302918,1.6841389028266465,1.0543311669923439,1.2873171786101005,0.0025316792681877656,-0.0008255012791180013,0.0017061779890697644,0.003357180547305767,1.5818269620967709,1.3325314760989415,2.9143584381957126,0.1804835150972196
1149525,2024-03-12,2023,Barcelona,Napoli,3,1,4,1,0.0016909919044269981,-0.0018796150484742871,0.0008576703850754731,-0.0019988500412221337,1.8674781088787913,1.4309789777572264,0.997863476091112,1.0416274692789147,-0.0003078581367951356,-0.001021944663398814,-0.0013298028001939497,0.0007140865266036785,1.3947101836887794,1.194956759451208,2.5896669431399877,0.14169937407913946
1149521,2024-03-13,2023,Borussia Dortmund,PSV Eindhoven,2,0,2,0,0.0029400258615480423,-0.0009896600307119495,0.005033115072266467,-0.002180146556694684,1.678003136249645,2.3209167878757873,1.5591881680588862,0.9756610307405928,0.0007598793048533585,0.004043455041554517,0.004803334346407876,-0.003283575736701159,1.2795164201757148,1.902300185224499,3.181816605400214,0.2142946586491591
1184777,2024-04-09,2023,Arsenal,Bayern Munich,2,2,4,1,0.003837682226253788,-0.0015381874555794664,0.004159086193597263,-0.0010014734696318396,1.8422030961587792,2.393491678112977,0.6804490304478498,1.0165921956873853,0.0028362087566219485,0.002620898738017797,0.005457107494639745,0.00021531001860415145,1.3684916113831873,1.2761853673181542,2.6446769787013418,0.14806238433380414
1184779,2024-04-09,2023,Real Madrid,Manchester City,3,3,6,1,0.002761438263456335,-0.0026105451500534455,0.00441518961511587,-0.0025160792455236254,1.8904584907133142,2.1589675779800968,0.9738072178142714,0.9121916739245954,0.0002453590179327097,0.0018046444650624241,0.002050003482995134,-0.0015592854471297144,1.3131871516005411,1.449971796437439,2.7631589480379803,0.16206844750411897
1184783,2024-04-10,2023,Paris Saint Germain,Barcelona,2,3,5,1,0.002606698797154031,-0.0013521520074377337,0.0018817405862933557,-0.002077865897025303,1.9604393070919055,1.944918267211891,1.1802382526131956,0.9756977614217467,0.000528832900128728,0.000529588578855622,0.00105842147898435,-7.556787268939852e-07,1.383038771449583,1.5150798451466663,2.8981186165962494,0.17847885316117662
1184781,2024-04-10,2023,Atletico Madrid,Borussia Dortmund,2,1,3,1,0.0024051982453282554,-0.0016929326061174855,0.0030874567794881773,-0.0011531569436343783,1.5303529310771562,1.6834732844958626,1.1732314424424786,1.5337585622860321,0.001252041301693877,0.0013945241733706918,0.002646565475064569,-0.0001424828716768147,1.5320548003772954,1.4053838585534053,2.9374386589307004,0.18334298663453474
1184782,2024-04-16,2023,Borussia Dortmund,Atletico Madrid,4,2,6,1,0.0030874567794881773,-0.0011531569436343783,0.0024051982453282554,-0.0016929326061174855,1.5500167513441783,1.6785316071373408,1.598910027212702,1.1998036234335232,0.0013945241733706918,0.001252041301693877,0.002646565475064569,0.0001424828716768147,1.3637139416481021,1.638237167703549,3.0019511093516513,0.19139809437813782
1184784,2024-04-16,2023,Barcelona,Paris Saint Germain,1,4,5,1,0.0018817405862933557,-0.002077865897025303,0.002606698797154031,-0.0013521520074377337,1.871642872721925,1.8624408738371796,1.0057126562725305,1.28432450425895,0.000529588578855622,0.000528832900128728,0.00105842147898435,7.556787268939852e-07,1.550418267648567,1.3686052602475713,2.9190235278961385,0.18106050654425188
1184778,2024-04-17,2023,Bayern Munich,Arsenal,1,0,1,0,0.004159086193597263,-0.0010014734696318396,0.003837682226253788,-0.0015381874555794664,2.3373362423905175,1.744519579923306,1.0334144303439945,0.8896383389103599,0.002620898738017797,0.0028362087566219485,0.005457107494639745,-0.00021531001860415145,1.4420069112716771,1.3426882392835604,2.7846951505552378,0.16465598610856058
1196543,2024-04-30,2023,Bayern Munich,Real Madrid,2,2,4,1,0.004147935446935763,-0.0009715529196731114,0.0028131939030202413,-0.002649666968183814,2.2366974977065213,1.6675370334424342,0.9488195080700689,0.9312733582252012,0.0014982684787519488,0.00184164098334713,0.003339909462099079,-0.00034337250459518117,1.443252157463503,1.2578520055075926,2.7011041629710957,0.15468313698979586
1196501,2024-05-01,2023,Borussia Dortmund,Paris Saint Germain,1,0,1,0,0.002948500927850894,-0.0013359015235905336,0.0028498121736692424,-0.0012909625154557767,1.4923557992565528,1.988061082588743,1.6633120097521092,1.218689639211392,0.0016575384123951173,0.0015139106500787088,0.0031714490624738263,0.00014362776231640847,1.3485987359370455,1.8184515046573655,3.1670502405944108,0.21239285410257303
1196502,2024-05-07,2023,Paris Saint Germain,Borussia Dortmund,0,1,1,0,0.0028498121736692424,-0.0012909625154557767,0.002948500927850894,-0.0013359015235905336,1.953276314191596,1.6195390308917426,1.2858282537356887,1.7134942258530637,0.0015139106500787088,0.0016575384123951173,0.0031714490624738263,-0.00014362776231640847,1.8294610369895432,1.4430693136326884,3.2725303506222314,0.22605444577760103
1196544,2024-05-08,2023,Real Madrid,Bayern Munich,2,1,3,1,0.0028131939030202413,-0.002649666968183814,0.004147935446935763,-0.0009715529196731114,1.7295194883170624,2.1335659353232743,1.0157872959153291,1.0910846563682899,0.00184164098334713,0.0014982684787519488,0.003339909462099079,0.00034337250459518117,1.373700177110232,1.472157998347694,2.845858175457926,0.1720702406004203
